benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_2048_8192_4_1_256_-20.o'               |  O3  runtime:  3663.0              |  RL  runtime:  3663.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_4096_4096_8_3_0_5.o'                   |  O3  runtime:  3570.0              |  RL  runtime:  3570.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_512_16384_2_0_0_20.o'                  |  O3  runtime:  3530.3333333333335  |  RL  runtime:  3530.3333333333335  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_512_2048_4_2_16_-20.o'                 |  O3  runtime:  2972.0              |  RL  runtime:  2972.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_512_2048_4_5_256_-20.o'                |  O3  runtime:  3000.6666666666665  |  RL  runtime:  3000.6666666666665  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_64_128_2_3_256_-20.o'                  |  O3  runtime:  994.6666666666666   |  RL  runtime:  994.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_8192_128_2_1_0_-20.o'                  |  O3  runtime:  1314.0              |  RL  runtime:  1314.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s16_8192_8192_2_0_256_-20.o'               |  O3  runtime:  3524.3333333333335  |  RL  runtime:  3524.3333333333335  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s18_2048_a_result_256_-20.o'               |  O3  runtime:  238.0               |  RL  runtime:  238.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s18_256_a_dst_256_-20.o'                   |  O3  runtime:  217.66666666666666  |  RL  runtime:  217.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  0.99X  |
