benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_128_add_2_256_0.o'                    |  O3  runtime:  52.333333333333336  |  RL  runtime:  52.333333333333336  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_128_mul_0_256_-15.o'                  |  O3  runtime:  58.666666666666664  |  RL  runtime:  58.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_add_3_256_-15.o'                |  O3  runtime:  228.66666666666666  |  RL  runtime:  228.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_mul_2_256_-20.o'                |  O3  runtime:  253.33333333333334  |  RL  runtime:  253.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_mul_3_256_-15.o'                |  O3  runtime:  339.3333333333333   |  RL  runtime:  339.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_mul_4_256_-20.o'                |  O3  runtime:  253.66666666666666  |  RL  runtime:  253.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_sub_3_256_-15.o'                |  O3  runtime:  257.6666666666667   |  RL  runtime:  257.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_16384_sub_5_256_-10.o'                |  O3  runtime:  227.66666666666666  |  RL  runtime:  227.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_2048_mul_2_256_-15.o'                 |  O3  runtime:  132.0               |  RL  runtime:  132.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_2048_mul_3_256_-15.o'                 |  O3  runtime:  138.0               |  RL  runtime:  138.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_256_add_0_256_-15.o'                  |  O3  runtime:  51.666666666666664  |  RL  runtime:  51.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_256_mul_4_256_-15.o'                  |  O3  runtime:  49.666666666666664  |  RL  runtime:  49.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_256_sub_0_256_-20.o'                  |  O3  runtime:  67.33333333333333   |  RL  runtime:  67.33333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_256_sub_3_256_-20.o'                  |  O3  runtime:  50.0                |  RL  runtime:  50.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_4096_mul_0_256_-10.o'                 |  O3  runtime:  232.0               |  RL  runtime:  232.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_add_1_256_-20.o'                   |  O3  runtime:  50.333333333333336  |  RL  runtime:  50.333333333333336  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_add_3_256_-15.o'                   |  O3  runtime:  51.333333333333336  |  RL  runtime:  51.333333333333336  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_add_4_256_-15.o'                   |  O3  runtime:  64.33333333333333   |  RL  runtime:  64.33333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_add_5_256_-15.o'                   |  O3  runtime:  53.0                |  RL  runtime:  53.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_mul_2_256_-15.o'                   |  O3  runtime:  52.333333333333336  |  RL  runtime:  52.333333333333336  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_mul_5_256_0.o'                     |  O3  runtime:  54.333333333333336  |  RL  runtime:  54.333333333333336  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_sub_4_256_0.o'                     |  O3  runtime:  57.0                |  RL  runtime:  57.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_64_sub_5_256_-15.o'                   |  O3  runtime:  51.666666666666664  |  RL  runtime:  51.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_mul_0_256_-15.o'                 |  O3  runtime:  219.33333333333334  |  RL  runtime:  219.33333333333334  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_mul_3_256_-20.o'                 |  O3  runtime:  231.0               |  RL  runtime:  231.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_mul_5_256_-15.o'                 |  O3  runtime:  225.0               |  RL  runtime:  225.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_in1_ia_256_-15.o'          |  O3  runtime:  424.0               |  RL  runtime:  424.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_in1_out1_256_-15.o'        |  O3  runtime:  415.3333333333333   |  RL  runtime:  415.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_in1_result1_256_-20.o'     |  O3  runtime:  414.6666666666667   |  RL  runtime:  414.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
