benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_4096_mul_1_256_0.o'                     |  O3  runtime:  192.66666666666666  |  RL  runtime:  192.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_4096_mul_3_256_-15.o'                   |  O3  runtime:  194.66666666666666  |  RL  runtime:  194.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_4096_sub_0_256_0.o'                     |  O3  runtime:  195.0               |  RL  runtime:  195.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_4096_sub_5_256_-15.o'                   |  O3  runtime:  193.0               |  RL  runtime:  193.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_512_mul_5_256_-20.o'                    |  O3  runtime:  47.0                |  RL  runtime:  47.0                |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_512_sub_0_256_0.o'                      |  O3  runtime:  48.666666666666664  |  RL  runtime:  48.666666666666664  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_add_4_256_0.o'                     |  O3  runtime:  193.66666666666666  |  RL  runtime:  193.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_mul_4_256_-20.o'                   |  O3  runtime:  192.0               |  RL  runtime:  192.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_sub_1_256_-20.o'                   |  O3  runtime:  202.0               |  RL  runtime:  202.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_sub_4_256_-10.o'                   |  O3  runtime:  197.0               |  RL  runtime:  197.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s11_8192_sub_5_256_-20.o'                   |  O3  runtime:  196.0               |  RL  runtime:  196.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_1024_2_2_short_a_ia_256_0.o'          |  O3  runtime:  362.3333333333333   |  RL  runtime:  362.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
